Run	Condition	genotype	title	developmental_stage	source_name
SRR10560023	SRR10560023	wild type	wt_rep1_totalRNA	YA (young adults)	YA (young adults)
SRR10560024	SRR10560024	wild type	wt_rep2_totalRNA	YA (young adults)	YA (young adults)
SRR10560025	SRR10560025	wild type	wt_rep3_totalRNA	YA (young adults)	YA (young adults)
SRR10560026	SRR10560026	nip2_nip3	nip2_nip3_rep1_totalRNA	YA (young adults)	YA (young adults)
SRR10560027	SRR10560027	nip2_nip3	nip2_nip3_rep2_totalRNA	YA (young adults)	YA (young adults)
SRR10560028	SRR10560028	nip2_nip3	nip2_nip3_rep3_totalRNA	YA (young adults)	YA (young adults)
SRR10560029	SRR10560029	nip3_qe17	nip3_qe17_rep1_totalRNA	YA (young adults)	YA (young adults)
SRR10560030	SRR10560030	nip3_qe17	nip3_qe17_rep2_totalRNA	YA (young adults)	YA (young adults)
SRR10560031	SRR10560031	nip3_qe17	nip3_qe17_rep3_totalRNA	YA (young adults)	YA (young adults)
SRR10560032	SRR10560032	nip3_qe20	nip3_qe20_rep1_totalRNA	YA (young adults)	YA (young adults)
SRR10560033	SRR10560033	nip3_qe20	nip3_qe20_rep2_totalRNA	YA (young adults)	YA (young adults)
SRR10560034	SRR10560034	nip1_nip2	nip1_nip2_rep3_totalRNA	YA (young adults)	YA (young adults)
SRR10560035	SRR10560035	nip1_tb1601	nip1_tb1601_rep1_totalRNA	YA (young adults)	YA (young adults)
SRR10560036	SRR10560036	nip1_tb1601	nip1_tb1601_rep2_totalRNA	YA (young adults)	YA (young adults)
SRR10560037	SRR10560037	nip2_tb1609	nip2_tb1609_rep1_totalRNA	YA (young adults)	YA (young adults)
SRR10560038	SRR10560038	nip2_tb1609	nip2_tb1609_rep2_totalRNA	YA (young adults)	YA (young adults)
SRR10560039	SRR10560039	nip2_tb1609	nip2_tb1609_rep3_totalRNA	YA (young adults)	YA (young adults)
SRR10560040	SRR10560040	nip1_nip2_nip3	nip1_nip2_nip3_rep1_totalRNA	YA (young adults)	YA (young adults)
SRR10560041	SRR10560041	nip1_nip2_nip3	nip1_nip2_nip3_rep2_totalRNA	YA (young adults)	YA (young adults)
SRR10560042	SRR10560042	nip1_nip2_nip3	nip1_nip2_nip3_rep3_totalRNA	YA (young adults)	YA (young adults)
