Run	Condition	developmental_stage	sex	strain
SRR580392	 male - XO	L4 & adult	male - XO	AF16 (WT)
SRR580393	 male - XO	L4 & adult	male - XO	AF16 (WT)
SRR580394	 male - XO	L4 & adult	male - XO	AF16 (WT)
SRR580389	 pseudofemale - XX	L4 & adult	pseudofemale - XX	she-1(v47)
SRR580390	 pseudofemale - XX	L4 & adult	pseudofemale - XX	she-1(v47)
SRR580391	 pseudofemale - XX	L4 & adult	pseudofemale - XX	she-1(v47)
