Run	Sample	Condition	developmental_stage	sex	strain
ERR299171	SAMEA1920102	Free-living female	Free-living adult	female	ED321Het
ERR299177	SAMEA1920102	Free-living female	Free-living adult	female	ED321Het
ERR299172	SAMEA1920103	Free-living female	Free-living adult	female	ED321Het
ERR299178	SAMEA1920103	Free-living female	Free-living adult	female	ED321Het
ERR299173	SAMEA1920104	Free-living female	Free-living adult	female	ED321Het
ERR299179	SAMEA1920104	Free-living female	Free-living adult	female	ED321Het
ERR299168	SAMEA1920099	Parasitic female	Parasitic adult	female	ED321Het
ERR299174	SAMEA1920099	Parasitic female	Parasitic adult	female	ED321Het
ERR299170	SAMEA1920100	Parasitic female	Parasitic adult	female	ED321Het
ERR299176	SAMEA1920100	Parasitic female	Parasitic adult	female	ED321Het
ERR299169	SAMEA1920101	Parasitic female	Parasitic adult	female	ED321Het
ERR299175	SAMEA1920101	Parasitic female	Parasitic adult	female	ED321Het
