Run	Condition	organism_part	sex	strain	treatment
SRR6269807	NMRI male	posterior somatic tissue	male	NMRI	
SRR6269808	NMRI male	posterior somatic tissue	male	NMRI	
SRR6269809	NMRI male	posterior somatic tissue	male	NMRI	
SRR6269810	NMRI male, zfp-1-1 dsRNA	posterior somatic tissue	male	NMRI	zfp-1-1 dsRNA
SRR6269811	NMRI male, zfp-1-1 dsRNA	posterior somatic tissue	male	NMRI	zfp-1-1 dsRNA
SRR6269812	NMRI male, zfp-1-1 dsRNA	posterior somatic tissue	male	NMRI	zfp-1-1 dsRNA
