Run	Condition	rnai	timepoint
SRR1012785	FoxD, 0d	FoxD	0d
SRR1012838	FoxD, 0d	FoxD	0d
SRR1012831	FoxD, 3d	FoxD	3d
SRR1012832	FoxD, 3d	FoxD	3d
SRR1012833	GFP, 0d	GFP	0d
SRR1012834	GFP, 0d	GFP	0d
SRR1012835	GFP, 3d	GFP	3d
SRR1012836	GFP, 3d	GFP	3d
