Run	Condition	developmental_stage	organism_part
SRR1041654	adult	adult	
SRR1041655	adult	adult	
SRR1041656	adult	adult	
SRR1041657	adult	adult	
SRR1041658	adult, large intestine	adult	large intestine
SRR1041651	large intestine		large intestine
SRR1041652	large intestine		large intestine
SRR1041653	large intestine		large intestine
