Run	Condition	developmental_stage	rna	strain
SRR580395	L4 & adult females	L4 & adult females	poly-A RNA	DF5081 (WT)
SRR580396	L4 & adult females	L4 & adult females	poly-A RNA	DF5081 (WT)
SRR580397	L4 & adult females	L4 & adult females	poly-A RNA	DF5081 (WT)
SRR580398	L4 & adult males	L4 & adult males	poly-A RNA	DF5081 (WT)
SRR580399	L4 & adult males	L4 & adult males	poly-A RNA	DF5081 (WT)
SRR580400	L4 & adult males	L4 & adult males	poly-A RNA	DF5081 (WT)
