SRP155330	SRR7601330	Fresh juveniles		
SRP155330	SRR7601331	Fresh juveniles	
SRP152065	SRR7471735	Uninfected juveniles	
SRP152065	SRR7471736	Uninfected juveniles	
SRP155472	SRR7609918	Control (Untreated)	
SRP155472	SRR7609919	Control (Untreated)	
