ERP001350	ERR225731	L3	
ERP001350	ERR225732	L3	
ERP001350	ERR225733	L3	
ERP001350	ERR225734	Adult male	
ERP001350	ERR225735	L2	
ERP001350	ERR225736	Microfilariae	
ERP001350	ERR225737	Microfilariae	
ERP001350	ERR485008	Adult female	
ERP001350	ERR485009	Adult female	
ERP001350	ERR485010	Adult female	
ERP001350	ERR570055	Adult female	
ERP001350	ERR570056	Adult female	
SRP056861	SRR1952268	Adult female	
SRP056861	SRR1952316	Adult female	
SRP056861	SRR1952319	Adult male	
SRP056861	SRR1952348	Adult female	
SRP056861	SRR1952349	Adult female	
SRP056861	SRR1952351	Adult female	
SRP056861	SRR1952458	Adult female	
SRP056861	SRR1952460	Adult female	
SRP056861	SRR1952463	Adult female	
