SRP159122	SRR7768343	Infective Juvenile	
SRP159122	SRR7768344	Infective Juvenile	
SRP159122	SRR7768345	Infective Juvenile	
SRP159122	SRR7768364	activated in a live waxworm, 12 hours	
SRP159122	SRR7768365	activated in a live waxworm, 12 hours	
SRP159122	SRR7768366	activated in a live waxworm, 12 hours	
SRP159122	SRR7768367	activated in a live waxworm, 15 hours	
SRP159122	SRR7768368	activated in a live waxworm, 15 hours	
SRP159122	SRR7768369	activated in a live waxworm, 15 hours	
SRP159122	SRR7768355	activated in a live waxworm, 3 hours	
SRP159122	SRR7768356	activated in a live waxworm, 3 hours	
SRP159122	SRR7768357	activated in a live waxworm, 3 hours	
SRP159122	SRR7768346	activated in waxworm homogenate, 3 hours	
SRP159122	SRR7768347	activated in waxworm homogenate, 3 hours	
SRP159122	SRR7768348	activated in waxworm homogenate, 3 hours	
SRP159122	SRR7768358	activated in a live waxworm, 6 hours	
SRP159122	SRR7768359	activated in a live waxworm, 6 hours	
SRP159122	SRR7768360	activated in a live waxworm, 6 hours	
SRP159122	SRR7768349	activated in waxworm homogenate, 6 hours	
SRP159122	SRR7768350	activated in waxworm homogenate, 6 hours	
SRP159122	SRR7768351	activated in waxworm homogenate, 6 hours	
SRP159122	SRR7768361	activated in a live waxworm, 9 hours	
SRP159122	SRR7768362	activated in a live waxworm, 9 hours	
SRP159122	SRR7768363	activated in a live waxworm, 9 hours	
SRP159122	SRR7768352	activated in waxworm homogenate, 9 hours	
SRP159122	SRR7768353	activated in waxworm homogenate, 9 hours	
SRP159122	SRR7768354	activated in waxworm homogenate, 9 hours	
