Run	Sample	Condition	developmental_stage	sex	strain	organism_part
SRR522009	SRS350385		L1 larva Ce	hermaphrodite	N2	organism
SRR522010	SRS350385		L1 larva Ce	hermaphrodite	N2	organism
SRR522011	SRS350385		L1 larva Ce	hermaphrodite	N2	organism
SRR522151	SRS350385		L4 larva Ce	hermaphrodite	N2	organism
SRR522152	SRS350385		L1 larva Ce	hermaphrodite	N2	organism
SRR522153	SRS350385		L4 larva Ce	hermaphrodite	N2	organism
SRR522871	SRS350385		L1 larva Ce	hermaphrodite	N2	organism
SRR522872	SRS350385		L1 larva Ce	hermaphrodite	N2	organism
SRR522881	SRS350385		L2 larva Ce	hermaphrodite	N2	organism
SRR522882	SRS350385		L4 larva Ce	hermaphrodite	N2	organism
SRR522883	SRS350385		L4 larva Ce	hermaphrodite	N2	organism
SRR522888	SRS350385		L1 larva Ce	hermaphrodite	N2	organism
SRR522890	SRS350385		L2 larva Ce	hermaphrodite	N2	organism
SRR522892	SRS350385		L2 larva Ce	hermaphrodite	N2	organism
SRR522895	SRS350385		L2 larva Ce	hermaphrodite	N2	organism
SRR522896	SRS350385		L1 larva Ce	hermaphrodite	N2	organism
SRR522897	SRS350385		L1 larva Ce	hermaphrodite	N2	organism
