Run	Condition	developmental_stage	sex	strain
SRR1056304	female	J4 young adult	female	PS312
SRR1056305	female	J4 young adult	female	PS312
SRR1056306	female	J4 young adult	female	PS312
SRR1056300	male	J4 young adult	male	PS312
SRR1056301	male	J4 young adult	male	PS312
SRR1056302	male	J4 young adult	male	PS312
SRR1056303	male	J4 young adult	male	PS312
