Run	Sample	Condition	molecule_subtype	organism_part	strain	treatment
SRR8146733	SAMN10364867	"monosomal RNA, mrps-5 RNAi"	monosomal RNA	whole organism	HT115	mrps-5 RNAi
SRR8146734	SAMN10364867	"monosomal RNA, mrps-5 RNAi"	monosomal RNA	whole organism	HT115	mrps-5 RNAi
SRR8146735	SAMN10364867	"monosomal RNA, mrps-5 RNAi"	monosomal RNA	whole organism	HT115	mrps-5 RNAi
SRR8146730	SAMN10364868	"monosomal RNA, mrps-5 RNAi"	monosomal RNA	whole organism	HT115	mrps-5 RNAi
SRR8146731	SAMN10364868	"monosomal RNA, mrps-5 RNAi"	monosomal RNA	whole organism	HT115	mrps-5 RNAi
SRR8146732	SAMN10364868	"monosomal RNA, mrps-5 RNAi"	monosomal RNA	whole organism	HT115	mrps-5 RNAi
SRR8146726	SAMN10364869	"monosomal RNA, mrps-5 RNAi"	monosomal RNA	whole organism	HT115	mrps-5 RNAi
SRR8146727	SAMN10364869	"monosomal RNA, mrps-5 RNAi"	monosomal RNA	whole organism	HT115	mrps-5 RNAi
SRR8146728	SAMN10364869	"monosomal RNA, mrps-5 RNAi"	monosomal RNA	whole organism	HT115	mrps-5 RNAi
SRR8146729	SAMN10364869	"monosomal RNA, mrps-5 RNAi"	monosomal RNA	whole organism	HT115	mrps-5 RNAi
SRR8146723	SAMN10364870	"polysomal RNA, mrps-5 RNAi"	polysomal RNA	whole organism	HT115	mrps-5 RNAi
SRR8146724	SAMN10364870	"polysomal RNA, mrps-5 RNAi"	polysomal RNA	whole organism	HT115	mrps-5 RNAi
SRR8146725	SAMN10364870	"polysomal RNA, mrps-5 RNAi"	polysomal RNA	whole organism	HT115	mrps-5 RNAi
SRR8146720	SAMN10364871	"polysomal RNA, mrps-5 RNAi"	polysomal RNA	whole organism	HT115	mrps-5 RNAi
SRR8146721	SAMN10364871	"polysomal RNA, mrps-5 RNAi"	polysomal RNA	whole organism	HT115	mrps-5 RNAi
SRR8146722	SAMN10364871	"polysomal RNA, mrps-5 RNAi"	polysomal RNA	whole organism	HT115	mrps-5 RNAi
SRR8146716	SAMN10364872	"polysomal RNA, mrps-5 RNAi"	polysomal RNA	whole organism	HT115	mrps-5 RNAi
SRR8146717	SAMN10364872	"polysomal RNA, mrps-5 RNAi"	polysomal RNA	whole organism	HT115	mrps-5 RNAi
SRR8146718	SAMN10364872	"polysomal RNA, mrps-5 RNAi"	polysomal RNA	whole organism	HT115	mrps-5 RNAi
SRR8146719	SAMN10364872	"polysomal RNA, mrps-5 RNAi"	polysomal RNA	whole organism	HT115	mrps-5 RNAi
SRR8146713	SAMN10364873	"total RNA, mrps-5 RNAi"	total RNA	whole organism	HT115	mrps-5 RNAi
SRR8146714	SAMN10364873	"total RNA, mrps-5 RNAi"	total RNA	whole organism	HT115	mrps-5 RNAi
SRR8146715	SAMN10364873	"total RNA, mrps-5 RNAi"	total RNA	whole organism	HT115	mrps-5 RNAi
SRR8146709	SAMN10364874	"total RNA, mrps-5 RNAi"	total RNA	whole organism	HT115	mrps-5 RNAi
SRR8146710	SAMN10364874	"total RNA, mrps-5 RNAi"	total RNA	whole organism	HT115	mrps-5 RNAi
SRR8146711	SAMN10364874	"total RNA, mrps-5 RNAi"	total RNA	whole organism	HT115	mrps-5 RNAi
SRR8146712	SAMN10364874	"total RNA, mrps-5 RNAi"	total RNA	whole organism	HT115	mrps-5 RNAi
SRR8146706	SAMN10364875	"total RNA, mrps-5 RNAi"	total RNA	whole organism	HT115	mrps-5 RNAi
SRR8146707	SAMN10364875	"total RNA, mrps-5 RNAi"	total RNA	whole organism	HT115	mrps-5 RNAi
SRR8146708	SAMN10364875	"total RNA, mrps-5 RNAi"	total RNA	whole organism	HT115	mrps-5 RNAi
SRR8146702	SAMN10364876	"monosomal RNA, empty vector"	monosomal RNA	whole organism	HT115	empty vector
SRR8146703	SAMN10364876	"monosomal RNA, empty vector"	monosomal RNA	whole organism	HT115	empty vector
SRR8146704	SAMN10364876	"monosomal RNA, empty vector"	monosomal RNA	whole organism	HT115	empty vector
SRR8146705	SAMN10364876	"monosomal RNA, empty vector"	monosomal RNA	whole organism	HT115	empty vector
SRR8146699	SAMN10364877	"monosomal RNA, empty vector"	monosomal RNA	whole organism	HT115	empty vector
SRR8146700	SAMN10364877	"monosomal RNA, empty vector"	monosomal RNA	whole organism	HT115	empty vector
SRR8146701	SAMN10364877	"monosomal RNA, empty vector"	monosomal RNA	whole organism	HT115	empty vector
SRR8146695	SAMN10364878	"monosomal RNA, empty vector"	monosomal RNA	whole organism	HT115	empty vector
SRR8146696	SAMN10364878	"monosomal RNA, empty vector"	monosomal RNA	whole organism	HT115	empty vector
SRR8146697	SAMN10364878	"monosomal RNA, empty vector"	monosomal RNA	whole organism	HT115	empty vector
SRR8146698	SAMN10364878	"monosomal RNA, empty vector"	monosomal RNA	whole organism	HT115	empty vector
SRR8146691	SAMN10364879	"polysomal RNA, empty vector"	polysomal RNA	whole organism	HT115	empty vector
SRR8146692	SAMN10364879	"polysomal RNA, empty vector"	polysomal RNA	whole organism	HT115	empty vector
SRR8146694	SAMN10364879	"polysomal RNA, empty vector"	polysomal RNA	whole organism	HT115	empty vector
SRR8146687	SAMN10364880	"polysomal RNA, empty vector"	polysomal RNA	whole organism	HT115	empty vector
SRR8146688	SAMN10364880	"polysomal RNA, empty vector"	polysomal RNA	whole organism	HT115	empty vector
SRR8146689	SAMN10364880	"polysomal RNA, empty vector"	polysomal RNA	whole organism	HT115	empty vector
SRR8146690	SAMN10364880	"polysomal RNA, empty vector"	polysomal RNA	whole organism	HT115	empty vector
SRR8146683	SAMN10364881	"polysomal RNA, empty vector"	polysomal RNA	whole organism	HT115	empty vector
SRR8146684	SAMN10364881	"polysomal RNA, empty vector"	polysomal RNA	whole organism	HT115	empty vector
SRR8146685	SAMN10364881	"polysomal RNA, empty vector"	polysomal RNA	whole organism	HT115	empty vector
