Run
SRR13972235
SRR13972236
SRR13972237
SRR13972238
SRR13972239
SRR13972240
SRR13972241
SRR13972242
SRR13972243
SRR13972244
SRR13972245
SRR13972246
SRR13972247
SRR13972248
SRR13972249
SRR13972250
SRR13972251
SRR13972252
SRR13972253
SRR13972254
SRR13972255
SRR13972256
SRR13972257
SRR13972258
SRR13972259
SRR13972260
SRR13972261
SRR13972262
SRR13972263
SRR13972264
SRR13972265
SRR13972266
SRR13972267
SRR13972268
SRR13972269
SRR13972270
