Run	Condition	genotype	sample_name	organism_part	source_name
SRR596318	JU1580	JU1580	JU1580	whole organism	C.elegans whole animal, Orsay virus infected, mixed stage
SRR596330	JU1580_5D	JU1580	JU1580_5D	whole organism	C.elegans whole animal, Orsay virus infected, mixed stage
SRR596322	JU1580_Rescue	JU1580 with DRH-1 from N2	JU1580_Rescue	whole organism	C.elegans whole animal, Orsay virus infected, mixed stage
SRR596323	MAGO_12	sago-2(tm894); ppw-1(tm914);ppw-2(tm1120);F55A12.1(tm2686);R06C7.1(tm1414);Y49F6A.1(tm1127);ZK1248.7(tm1113);F58G1.1(tm1019);C16C10.3(tm1200);sago-1(tm1195);T22H9.3(tm1186);R04A9.2(tm1116)	MAGO_12	whole organism	C.elegans whole animal, Orsay virus infected, mixed stage
SRR596313	N2_1	N2 (Bristol)	N2_1	whole organism	C.elegans whole animal, Orsay virus infected, mixed stage
SRR596314	N2_2	N2 (Bristol)	N2_2	whole organism	C.elegans whole animal, Orsay virus infected, mixed stage
SRR596315	N2_3	N2 (Bristol)	N2_3	whole organism	C.elegans whole animal, Orsay virus infected, mixed stage
SRR596331	N2_5D	N2 (Bristol)	N2_5D	whole organism	C.elegans whole animal, Orsay virus infected, mixed stage
SRR596319	drh-1_1	drh-1 ok3495	drh-1_1	whole organism	C.elegans whole animal, Orsay virus infected, mixed stage
SRR596320	drh-1_2	drh-1 ok3495	drh-1_2	whole organism	C.elegans whole animal, Orsay virus infected, mixed stage
SRR596321	drh-1_3	drh-1 ok3495	drh-1_3	whole organism	C.elegans whole animal, Orsay virus infected, mixed stage
SRR596333	drh-1_5D	drh-1 ok3495	drh-1_5D	whole organism	C.elegans whole animal, Orsay virus infected, mixed stage
SRR596326	drh-1_drh-3	drh-1 ok3495; drh-3 ne2345	drh-1_drh-3	whole organism	C.elegans whole animal, Orsay virus infected, mixed stage
SRR596334	drh-1_drh-3_5D	drh-1 ok3495; drh-3 ne2345	drh-1_drh-3_5D	whole organism	C.elegans whole animal, Orsay virus infected, mixed stage
SRR596325	drh-1_rde-1	drh-1 ok3495; rde-1 ne219	drh-1_rde-1	whole organism	C.elegans whole animal, Orsay virus infected, mixed stage
SRR596327	drh-1_rde-4	rde-4 ne301; drh-1 ok3495	drh-1_rde-4	whole organism	C.elegans whole animal, Orsay virus infected, mixed stage
SRR596336	drh-2	drh-2 ok951	drh-2	whole organism	C.elegans whole animal, Orsay virus infected, mixed stage
SRR596329	drh-3	drh-3 ne2345	drh-3	whole organism	C.elegans whole animal, Orsay virus infected, mixed stage
SRR596335	drh-3_5D	drh-3 ne301	drh-3_5D	whole organism	C.elegans whole animal, Orsay virus infected, mixed stage
SRR596316	rde-1_1	rde-1 ne219	rde-1_1	whole organism	C.elegans whole animal, Orsay virus infected, mixed stage
SRR596317	rde-1_2	rde-1 ne219	rde-1_2	whole organism	C.elegans whole animal, Orsay virus infected, mixed stage
SRR596332	rde-1_5D	rde-1 ne219	rde-1_5D	whole organism	C.elegans whole animal, Orsay virus infected, mixed stage
SRR596328	rde-4	rde-4 ne301	rde-4	whole organism	C.elegans whole animal, Orsay virus infected, mixed stage
SRR596324	rrf-1	rrf-1 pk1417	rrf-1	whole organism	C.elegans whole animal, Orsay virus infected, mixed stage
