Run	Condition	strain
ERR1674583		Puerto Rican
ERR1674584		Puerto Rican
ERR1674585		Puerto Rican
ERR1674586		Puerto Rican
ERR1674587		Puerto Rican
ERR1674588		Puerto Rican
ERR1674590		Puerto Rican
ERR1674591		Puerto Rican
ERR1674594		Puerto Rican
ERR1674595		Puerto Rican
