Run	Condition	description_title	genotype	strain	developmental_stage	source_name
SRR8580020	SRR8580020	NT11_WT_EV_1	wild type	N2	day 6 of adulthood	Caenorhabditis elegans homogenate
SRR8580021	SRR8580021	NT12_WT_anc-1_1	wild type	N2	day 6 of adulthood	Caenorhabditis elegans homogenate
SRR8580022	SRR8580022	NT21_WT_EV_2	wild type	N2	day 6 of adulthood	Caenorhabditis elegans homogenate
SRR8580023	SRR8580023	NT22_WT_anc-1_2	wild type	N2	day 6 of adulthood	Caenorhabditis elegans homogenate
SRR8580024	SRR8580024	NT31_WT_EV_3	wild type	N2	day 6 of adulthood	Caenorhabditis elegans homogenate
SRR8580025	SRR8580025	NT32_WT_anc-1_3	wild type	N2	day 6 of adulthood	Caenorhabditis elegans homogenate
SRR8580026	SRR8580026	AM11_Q35_EV_1	unc-54p::Q35-YFP	AM140	day 6 of adulthood	Caenorhabditis elegans homogenate
SRR8580027	SRR8580027	AM12_Q35_anc-1_1	unc-54p::Q35-YFP	AM140	day 6 of adulthood	Caenorhabditis elegans homogenate
SRR8580028	SRR8580028	AM21_Q35_EV_2	unc-54p::Q35-YFP	AM140	day 6 of adulthood	Caenorhabditis elegans homogenate
SRR8580029	SRR8580029	AM22_Q35_anc-1_2	unc-54p::Q35-YFP	AM140	day 6 of adulthood	Caenorhabditis elegans homogenate
SRR8580030	SRR8580030	AM31_Q35_EV_3	unc-54p::Q35-YFP	AM140	day 6 of adulthood	Caenorhabditis elegans homogenate
SRR8580031	SRR8580031	AM32_Q35_anc-1_3	unc-54p::Q35-YFP	AM140	day 6 of adulthood	Caenorhabditis elegans homogenate
SRR8580032	SRR8580032	AM41_Q35_EV_4	unc-54p::Q35-YFP	AM140	day 6 of adulthood	Caenorhabditis elegans homogenate
SRR8580033	SRR8580033	AM42_Q35_anc-1_4	unc-54p::Q35-YFP	AM140	day 6 of adulthood	Caenorhabditis elegans homogenate
