Run	Condition	developmental_stage
SRR4119886	1.5-fold	1.5-fold
SRR4119887	1.5-fold	1.5-fold
SRR4119888	1.5-fold	1.5-fold
SRR4119889	1.5-fold	1.5-fold
SRR4119862	2-cell	2-cell
SRR4119863	2-cell	2-cell
SRR4119864	2-cell	2-cell
SRR4119865	2-cell	2-cell
SRR4119890	2-fold	2-fold
SRR4119891	2-fold	2-fold
SRR4119892	2-fold	2-fold
SRR4119893	2-fold	2-fold
SRR4119874	24-44-cell	24-44-cell
SRR4119875	24-44-cell	24-44-cell
SRR4119876	24-44-cell	24-44-cell
SRR4119877	24-44-cell	24-44-cell
SRR4119866	4-cell	4-cell
SRR4119867	4-cell	4-cell
SRR4119868	4-cell	4-cell
SRR4119869	4-cell	4-cell
SRR4119878	64-78-cell	64-78-cell
SRR4119879	64-78-cell	64-78-cell
SRR4119880	64-78-cell	64-78-cell
SRR4119881	64-78-cell	64-78-cell
SRR4119870	8-cell	8-cell
SRR4119871	8-cell	8-cell
SRR4119872	8-cell	8-cell
SRR4119873	8-cell	8-cell
SRR4119898	L1	L1
SRR4119899	L1	L1
SRR4119900	L1	L1
SRR4119901	L1	L1
SRR4119882	comma	comma
SRR4119883	comma	comma
SRR4119884	comma	comma
SRR4119885	comma	comma
SRR4119894	moving	moving
SRR4119895	moving	moving
SRR4119896	moving	moving
SRR4119897	moving	moving
SRR4119858	zygote	zygote
SRR4119859	zygote	zygote
SRR4119860	zygote	zygote
SRR4119861	zygote	zygote
