Run	Sample	developmental_stage	sampling_location	Sex
ERR11178421	SAMEA7225807	Juveniles	Intramammalian	Female
ERR11178359	SAMEA7225808	Juveniles	Intramammalian	Female
ERR11178369	SAMEA7225786	Juveniles	Intramammalian	Female
ERR11178379	SAMEA7225788	Juveniles	Intramammalian	Female
ERR11178388	SAMEA7225791	Juveniles	Intramammalian	Female
ERR11178397	SAMEA7225792	Juveniles	Intramammalian	Male
ERR11178406	SAMEA7225794	Juveniles	Intramammalian	Male
ERR11178414	SAMEA7225795	Juveniles	Intramammalian	Male
ERR11178423	SAMEA7225799	Juveniles	Intramammalian	Male
ERR11178361	SAMEA7225800	Juveniles	Intramammalian	Male
