Run	Condition	organism_part	rnai	strain
SRR2550667	unc22 (control)	whole animal, mascerated	unc22 (control)	Asexual CIW4
SRR2550668	unc22 (control)	whole animal, mascerated	unc22 (control)	Asexual CIW4
SRR2550669	unc22 (control)	whole animal, mascerated	unc22 (control)	Asexual CIW4
SRR2550664	yorkie	whole animal, mascerated	yorkie	Asexual CIW4
SRR2550665	yorkie	whole animal, mascerated	yorkie	Asexual CIW4
SRR2550666	yorkie	whole animal, mascerated	yorkie	Asexual CIW4
