Run	Condition	title	molecule_subtype	organism_part	source_name
SRR10398495	SRR10398495	Slee113_mRNAseqFP_N2_1: wild type mRNAseq-1	Ribo-Zero treated total RNA	mixed early embryo	Embryo
SRR10398496	SRR10398496	Slee138_mRNAseqFP_N2_2: wild type mRNAseq-2	Ribo-Zero treated total RNA	mixed early embryo	Embryo
SRR10398497	SRR10398497	Slee142_mRNAseqFP_N2_3: wild type mRNAseq-3	Ribo-Zero treated total RNA	mixed early embryo	Embryo
SRR10398498	SRR10398498	Slee125_mRNAseqFP_meg34_1: meg-3meg-4 mRNAseq-1	Ribo-Zero treated total RNA	mixed early embryo	Embryo
SRR10398499	SRR10398499	Slee139_mRNAseqFP_meg34_2: meg-3meg-4 mRNAseq-2	Ribo-Zero treated total RNA	mixed early embryo	Embryo
SRR10398500	SRR10398500	Slee141_mRNAseqFP_meg34_3: meg-3meg-4 mRNAseq-3	Ribo-Zero treated total RNA	mixed early embryo	Embryo
