Run	Condition	description_title	developmental_stage	organism_part	source_name	strain
SRR8208602	SRR8208602	Sample 1_Control	adult day 1 stage	whole organism	Whole tissue	N2
SRR8208603	SRR8208603	Sample 2_Control	adult day 1 stage	whole organism	Whole tissue	N2
SRR8208604	SRR8208604	Sample 3_Control	adult day 1 stage	whole organism	Whole tissue	N2
SRR8208605	SRR8208605	Sample 4_Control	adult day 1 stage	whole organism	Whole tissue	N2
SRR8208606	SRR8208606	Sample 5_Control	adult day 1 stage	whole organism	Whole tissue	N2
SRR8208607	SRR8208607	Sample 6_Incubation with Ag	adult day 1 stage	whole organism	Whole tissue	N2
SRR8208608	SRR8208608	Sample 7_Incubation with Ag	adult day 1 stage	whole organism	Whole tissue	N2
SRR8208609	SRR8208609	Sample 8_Incubation with Ag	adult day 1 stage	whole organism	Whole tissue	N2
SRR8208610	SRR8208610	Sample 9_Incubation with Ag	adult day 1 stage	whole organism	Whole tissue	N2
SRR8208611	SRR8208611	Sample 10_Incubation with Ag	adult day 1 stage	whole organism	Whole tissue	N2
SRR8208612	SRR8208612	Sample 11_Incubation with SiO2	adult day 1 stage	whole organism	Whole tissue	N2
SRR8208613	SRR8208613	Sample 12_Incubation with SiO2	adult day 1 stage	whole organism	Whole tissue	N2
SRR8208614	SRR8208614	Sample 13_Incubation with SiO2	adult day 1 stage	whole organism	Whole tissue	N2
SRR8208615	SRR8208615	Sample 14_Incubation with SiO2	adult day 1 stage	whole organism	Whole tissue	N2
SRR8208616	SRR8208616	Sample 15_Incubation with SiO2	adult day 1 stage	whole organism	Whole tissue	N2
