Run	Sample	Condition	developmental_host	host_organism_part
SRR6435989	SAMN08242087	L3, Biomphalaria glabrata	L3	Biomphalaria glabrata
SRR6435990	SAMN08242087	L3, Biomphalaria glabrata	L3	Biomphalaria glabrata
SRR6435991	SAMN08242087	L3, Biomphalaria glabrata	L3	Biomphalaria glabrata
SRR6435992	SAMN08242087	L3, Biomphalaria glabrata	L3	Biomphalaria glabrata
SRR6435988	SAMN08242088	L3, Biomphalaria glabrata	L3	Biomphalaria glabrata
SRR6435986	SAMN08242089	L4 (21 d.p.i), Rattus norvegicus	L4 (21 d.p.i)	Rattus norvegicus
SRR6435987	SAMN08242089	L4 (21 d.p.i), Rattus norvegicus	L4 (21 d.p.i)	Rattus norvegicus
SRR6435985	SAMN08242090	L4 (21 d.p.i), Rattus norvegicus	L4 (21 d.p.i)	Rattus norvegicus
SRR6435993	SAMN08242090	L4 (21 d.p.i), Rattus norvegicus	L4 (21 d.p.i)	Rattus norvegicus
