Run	Condition	developmental_stage
SRR2010462	RNA IJ	RNA IJ
SRR2010463	RNA IJ	RNA IJ
SRR2010460	RNA L1	RNA L1
SRR2010461	RNA L1	RNA L1
SRR2010458	RNA embryo	RNA embryo
SRR2010459	RNA embryo	RNA embryo
SRR2010464	RNA young adult	RNA young adult
SRR2010465	RNA young adult	RNA young adult
