Run	Sample	Condition	developmental_stage	organism_part	sex	strain
SRR638942	SAMN01831633	LE2544	L1 larva Ce	organism	hermaphrodite	LE2544
SRR638946	SAMN01831633	LE2544	L1 larva Ce	organism	hermaphrodite	LE2544
SRR638971	SAMN01831633	LE2544	L1 larva Ce	organism	hermaphrodite	LE2544
SRR639015	SAMN01831633	LE2544	L1 larva Ce	organism	hermaphrodite	LE2544
SRR639020	SAMN01831633	LE2544	L1 larva Ce	organism	hermaphrodite	LE2544
SRR639021	SAMN01831633	LE2544	L1 larva Ce	organism	hermaphrodite	LE2544
SRR639022	SAMN01831633	LE2544	L1 larva Ce	organism	hermaphrodite	LE2544
SRR639023	SAMN01831633	LE2544	L1 larva Ce	organism	hermaphrodite	LE2544
SRR639082	SAMN01831652	LE2962	L1 larva Ce	organism	hermaphrodite	LE2962
SRR639084	SAMN01831652	LE2962	L1 larva Ce	organism	hermaphrodite	LE2962
SRR639087	SAMN01831652	LE2962	L1 larva Ce	organism	hermaphrodite	LE2962
SRR639088	SAMN01831652	LE2962	L1 larva Ce	organism	hermaphrodite	LE2962
SRR639089	SAMN01831652	LE2962	L1 larva Ce	organism	hermaphrodite	LE2962
SRR639090	SAMN01831652	LE2962	L1 larva Ce	organism	hermaphrodite	LE2962
SRR639091	SAMN01831653	LE2963	L1 larva Ce	organism	hermaphrodite	LE2963
SRR639092	SAMN01831653	LE2963	L1 larva Ce	organism	hermaphrodite	LE2963
SRR639093	SAMN01831653	LE2963	L1 larva Ce	organism	hermaphrodite	LE2963
SRR639094	SAMN01831653	LE2963	L1 larva Ce	organism	hermaphrodite	LE2963
SRR639095	SAMN01831653	LE2963	L1 larva Ce	organism	hermaphrodite	LE2963
SRR639096	SAMN01831653	LE2963	L1 larva Ce	organism	hermaphrodite	LE2963
SRR639097	SAMN01831654	LE3037	L1 larva Ce	organism	hermaphrodite	LE3037
SRR639098	SAMN01831654	LE3037	L1 larva Ce	organism	hermaphrodite	LE3037
SRR639099	SAMN01831654	LE3037	L1 larva Ce	organism	hermaphrodite	LE3037
SRR639101	SAMN01831654	LE3037	L1 larva Ce	organism	hermaphrodite	LE3037
SRR639102	SAMN01831654	LE3037	L1 larva Ce	organism	hermaphrodite	LE3037
SRR639105	SAMN01831654	LE3037	L1 larva Ce	organism	hermaphrodite	LE3037
