Run	Condition	description_title	id	organism_part	sample_name	developmental_stage	sex	strain
SRR8182089	VL_819	Single cell RNA sequencing VL_819	Single cell RNA sequencing VL_819	mucle cell, ventral lateral	VL_819	adult	hermaphrodite	Asexual
SRR8182091	VM_761	Single cell RNA sequencing VM_761	Single cell RNA sequencing VM_761	mucle cell, ventral medial	VM_761	adult	hermaphrodite	Asexual
SRR8182082	VM_774	Single cell RNA sequencing VM_774	Single cell RNA sequencing VM_774	mucle cell, ventral medial	VM_774	adult	hermaphrodite	Asexual
SRR8182083	VM_785	Single cell RNA sequencing VM_785	Single cell RNA sequencing VM_785	mucle cell, ventral medial	VM_785	adult	hermaphrodite	Asexual
SRR8182081	VM_786	Single cell RNA sequencing VM_786	Single cell RNA sequencing VM_786	mucle cell, ventral medial	VM_786	adult	hermaphrodite	Asexual
SRR8182080	VM_797	Single cell RNA sequencing VM_797	Single cell RNA sequencing VM_797	mucle cell, ventral medial	VM_797	adult	hermaphrodite	Asexual
SRR8182062	gata456_2_7	gata4/5/6-2 RNAi sample #7	gata4/5/6-2 RNAi sample #7	rnai animal	gata456_2_7	adult	hermaphrodite	Asexual
SRR8182063	gata456_2_9	gata4/5/6-2 RNAi sample #9	gata4/5/6-2 RNAi sample #9	rnai animal	gata456_2_9	adult	hermaphrodite	Asexual
SRR8182064	gata456_3_34	gata4/5/6_3 RNAi sample #34	gata456_3 RNAi sample #34	rnai animal	gata456_3_34	adult	hermaphrodite	Asexual
SRR8182065	gata456_3_36	gata4/5/6_3 RNAi sample #36	gata456_3 RNAi sample #36	rnai animal	gata456_3_36	adult	hermaphrodite	Asexual
SRR8182068	nk4_23	nk4 RNAi sample #23	nk4 RNAi sample #23	rnai animal	nk4_23	adult	hermaphrodite	Asexual
SRR8182069	nk4_24	nk4 RNAi sample #24	nk4 RNAi sample #24	rnai animal	nk4_24	adult	hermaphrodite	Asexual
SRR8182066	nk4_25	nk4 RNAi sample #25	nk4 RNAi sample #25	rnai animal	nk4_25	adult	hermaphrodite	Asexual
SRR8182067	nk4_26	nk4 RNAi sample #26	nk4 RNAi sample #26	rnai animal	nk4_26	adult	hermaphrodite	Asexual
SRR8182070	nk4_27	nk4 RNAi sample #27	nk4 RNAi sample #27	rnai animal	nk4_27	adult	hermaphrodite	Asexual
SRR8182071	u22_10	unc22 RNAi sample #10	unc22 RNAi sample #10	rnai animal	u22_10	adult	hermaphrodite	Asexual
SRR8182043	u22_11	unc22 RNAi sample #11	unc22 RNAi sample #11	rnai animal	u22_11	adult	hermaphrodite	Asexual
SRR8182042	u22_12	unc22 RNAi sample #12	unc22 RNAi sample #12	rnai animal	u22_12	adult	hermaphrodite	Asexual
SRR8182045	u22_13	unc22 RNAi sample #13	unc22 RNAi sample #13	rnai animal	u22_13	adult	hermaphrodite	Asexual
SRR8182044	u22_14	unc22 RNAi sample #14	unc22 RNAi sample #14	rnai animal	u22_14	adult	hermaphrodite	Asexual
SRR8182047	u22_2	unc22 RNAi sample #2	unc22 RNAi sample #2	rnai animal	u22_2	adult	hermaphrodite	Asexual
SRR8182046	u22_21	unc22 RNAi sample #21	unc22 RNAi sample #21	rnai animal	u22_21	adult	hermaphrodite	Asexual
SRR8182049	u22_22	unc22 RNAi sample #22	unc22 RNAi sample #22	rnai animal	u22_22	adult	hermaphrodite	Asexual
SRR8182048	u22_28	unc22 RNAi sample #28	unc22 RNAi sample #28	rnai animal	u22_28	adult	hermaphrodite	Asexual
SRR8182051	u22_29	unc22 RNAi sample #29	unc22 RNAi sample #29	rnai animal	u22_29	adult	hermaphrodite	Asexual
SRR8182050	u22_3	unc22 RNAi sample #3	unc22 RNAi sample #3	rnai animal	u22_3	adult	hermaphrodite	Asexual
SRR8182021	u22_30	unc22 RNAi sample #30	unc22 RNAi sample #30	rnai animal	u22_30	adult	hermaphrodite	Asexual
