Run	Sample	Condition	isolate
SRR3136978	SAMN04376511	antihelmintic resistant	antihelmintic resistant
SRR3136980	SAMN04376511	antihelmintic resistant	antihelmintic resistant
SRR3140154	SAMN04376511	antihelmintic resistant	antihelmintic resistant
SRR3136984	SRR3136984	antihelmintic susceptible	antihelmintic susceptible
