Run	Condition	genotype	source_name	strain	title	life_stage
SRR6333367	SRR6333367	wild type	wild type control sample		wild type control 1	Young Adult (no eggs visible)
SRR6333368	SRR6333368	wild type	wild type control sample		wild type control 2	Young Adult (no eggs visible)
SRR6333369	SRR6333369	wild type	wild type control sample		wild type control 3	Young Adult (no eggs visible)
SRR6333370	SRR6333370	mdt-12(bx93)	homozygotes of the bx93 allele		mdt-12(bx93) 1	Young Adult (no eggs visible)
SRR6333371	SRR6333371	mdt-12(bx93)	homozygotes of the bx93 allele		mdt-12(bx93) 2	Young Adult (no eggs visible)
SRR6333372	SRR6333372	mdt-12(bx93)	homozygotes of the bx93 allele		mdt-12(bx93) 3	Young Adult (no eggs visible)
SRR6333373	SRR6333373	mdt-12(sy622)	homozygotes of the sy622 allele		mdt-12(sy622) 1	Young Adult (no eggs visible)
SRR6333374	SRR6333374	mdt-12(sy622)	homozygotes of the sy622 allele		mdt-12(sy622) 2	Young Adult (no eggs visible)
SRR6333375	SRR6333375	mdt-12(sy622)	homozygotes of the sy622 allele		mdt-12(sy622) 3	Young Adult (no eggs visible)
SRR6333376	SRR6333376	mdt-12(bx93)/mdt-12(sy622)	trans-heterozygotes		mdt-12(bx93)/mdt-12(sy622) 1	Young Adult (no eggs visible)
SRR6333377	SRR6333377	mdt-12(bx93)/mdt-12(sy622)	trans-heterozygotes		mdt-12(bx93)/mdt-12(sy622) 2	Young Adult (no eggs visible)
SRR6333378	SRR6333378	mdt-12(bx93)/mdt-12(sy622)	trans-heterozygotes		mdt-12(bx93)/mdt-12(sy622) 3	Young Adult (no eggs visible)
SRR6333379	SRR6333379	mdt-12(bx93)/mdt-12(sy622)	trans-heterozygotes		mdt-12(bx93)/mdt-12(sy622) 4	Young Adult (no eggs visible)
SRR7171632	SRR7171632	bar-1(ga80)	homozygotes of bar-1(ga80)	EW15	homozygotes of bar-1(ga80) 1	Young Adult (no eggs visible)
SRR7171633	SRR7171633	bar-1(ga80)	homozygotes of bar-1(ga80)	EW15	homozygotes of bar-1(ga80) 2	Young Adult (no eggs visible)
SRR7171634	SRR7171634	bar-1(ga80)	homozygotes of bar-1(ga80)	EW15	homozygotes of bar-1(ga80) 3	Young Adult (no eggs visible)
SRR7171635	SRR7171635	let-60(n1046gf)	homozygotes of let-60(n1046gf)	MT2124	homozygotes of let-60(n1046gf) 1	Young Adult (no eggs visible)
SRR7171636	SRR7171636	let-60(n1046gf)	homozygotes of let-60(n1046gf)	MT2124	homozygotes of let-60(n1046gf) 2	Young Adult (no eggs visible)
SRR7171637	SRR7171637	let-60(n1046gf)	homozygotes of let-60(n1046gf)	MT2124	homozygotes of let-60(n1046gf) 3	Young Adult (no eggs visible)
SRR7171638	SRR7171638	let-60(n2021)	homozygotes of let-60(n2021lf)	MT4866	homozygotes of let-60(n2021lf) 1	Young Adult (no eggs visible)
SRR7171639	SRR7171639	let-60(n2021)	homozygotes of let-60(n2021lf)	MT4866	homozygotes of let-60(n2021lf) 2	Young Adult (no eggs visible)
SRR7171640	SRR7171640	let-60(n2021)	homozygotes of let-60(n2021lf)	MT4866	homozygotes of let-60(n2021lf) 3	Young Adult (no eggs visible)
