Run	Condition	developmental_stage	rna	strain
SRR580401	L4 & adult females	L4 & adult females	poly-A RNA	PB2801 (WT)
SRR580402	L4 & adult females	L4 & adult females	poly-A RNA	PB2801 (WT)
SRR580403	L4 & adult females	L4 & adult females	poly-A RNA	PB2801 (WT)
SRR580404	L4 & adult males	L4 & adult males	poly-A RNA	PB2801 (WT)
SRR580405	L4 & adult males	L4 & adult males	poly-A RNA	PB2801 (WT)
SRR580406	L4 & adult males	L4 & adult males	poly-A RNA	PB2801 (WT)
