Run	Condition	developmental_stage
ERR790025	adult female	adult female
ERR790023	adult male	adult male
ERR790022	egg	egg
ERR790026	juvenile	juvenile
ERR790029	juvenile	juvenile
ERR790024	juvenile J3-J4	juvenile J3-J4
ERR790028	preparasitic J2.1	preparasitic J2.1
ERR790027	preparasitic J2.2	preparasitic J2.2
