Run	Sample	Condition	developmental_stage	strain
SRR6387370	SAMN08200133	Control selected, derived from PX443	L1	Control selected, derived from PX443
SRR6387371	SAMN08200133	Control selected, derived from PX443	L1	Control selected, derived from PX443
SRR6387368	SAMN08200134	Control selected, derived from PX443	L1	Control selected, derived from PX443
SRR6387369	SAMN08200134	Control selected, derived from PX443	L1	Control selected, derived from PX443
SRR6387367	SAMN08200135	Control selected, derived from PX443	L1	Control selected, derived from PX443
SRR6387366	SAMN08200136	Control selected, derived from PX443	L1	Control selected, derived from PX443
SRR6387365	SAMN08200137	Control selected, derived from PX443	L1	Control selected, derived from PX443
SRR6387364	SAMN08200138	Control selected, derived from PX443	L1	Control selected, derived from PX443
SRR6387363	SAMN08200139	Control selected, derived from PX443	L1	Control selected, derived from PX443
SRR6387362	SAMN08200140	Control selected, derived from PX443	L1	Control selected, derived from PX443
SRR6387380	SAMN08200125	Heat-selected, derived from PX443	L1	Heat-selected, derived from PX443
SRR6387381	SAMN08200125	Heat-selected, derived from PX443	L1	Heat-selected, derived from PX443
SRR6387377	SAMN08200126	Heat-selected, derived from PX443	L1	Heat-selected, derived from PX443
SRR6387376	SAMN08200127	Heat-selected, derived from PX443	L1	Heat-selected, derived from PX443
SRR6387375	SAMN08200128	Heat-selected, derived from PX443	L1	Heat-selected, derived from PX443
SRR6387374	SAMN08200129	Heat-selected, derived from PX443	L1	Heat-selected, derived from PX443
SRR6387373	SAMN08200130	Heat-selected, derived from PX443	L1	Heat-selected, derived from PX443
SRR6387378	SAMN08200131	Heat-selected, derived from PX443	L1	Heat-selected, derived from PX443
SRR6387379	SAMN08200131	Heat-selected, derived from PX443	L1	Heat-selected, derived from PX443
SRR6387372	SAMN08200132	Heat-selected, derived from PX443	L1	Heat-selected, derived from PX443
SRR6387387	SAMN08200119	Oxidative-selected, derived from PX443	L1	Oxidative-selected, derived from PX443
SRR6387386	SAMN08200120	Oxidative-selected, derived from PX443	L1	Oxidative-selected, derived from PX443
SRR6387385	SAMN08200121	Oxidative-selected, derived from PX443	L1	Oxidative-selected, derived from PX443
SRR6387384	SAMN08200122	Oxidative-selected, derived from PX443	L1	Oxidative-selected, derived from PX443
SRR6387383	SAMN08200123	Oxidative-selected, derived from PX443	L1	Oxidative-selected, derived from PX443
SRR6387382	SAMN08200124	Oxidative-selected, derived from PX443	L1	Oxidative-selected, derived from PX443
SRR6387356	SAMN08200118	PX443	L1	PX443
SRR6387361	SAMN08200141	PX443	L1	PX443
SRR6387360	SAMN08200142	PX443	L1	PX443
SRR6387359	SAMN08200143	PX443	L1	PX443
SRR6387358	SAMN08200144	PX443	L1	PX443
SRR6387357	SAMN08200145	PX443	L1	PX443
