Run	Sample	Condition	developmental_stage	organism_part	strain
ERR337909	SAMEA2066266	Metacestode, cyst wall	metacestode	cyst wall	G7
ERR337922	SAMEA2066266	Metacestode, cyst wall	metacestode	cyst wall	G7
ERR337912	SAMEA1972258	Non-activated protoscolex		Non-activated protoscolex	G7
ERR337925	SAMEA1972258	Non-activated protoscolex		Non-activated protoscolex	G7
ERR337961	SAMEA2066431	Non-activated protoscolex		Non-activated protoscolex	G7
ERR337973	SAMEA2066431	Non-activated protoscolex		Non-activated protoscolex	G7
ERR337937	SAMEA2066436	Non-activated protoscolex		Non-activated protoscolex	G7
ERR337949	SAMEA2066436	Non-activated protoscolex		Non-activated protoscolex	G7
