Run	Condition	developmental stage	infection
SRR7471735	second stage juvenile		second stage juvenile
SRR7471736	second stage juvenile		second stage juvenile
SRR7471737	second stage juvenile, Pasteuria penetrans	second stage juvenile	Pasteuria penetrans
SRR7471738	second stage juvenile, Pasteuria penetrans	second stage juvenile	Pasteuria penetrans
