Run	Condition	description_title	genotype	phenotype	developmental_stage	organism_part	source_name
SRR6798206	SRR6798206	22921-GLP-1(E2141)	GLP-1(E2141)	LONG LIVED	YOUNG ADULT	whole organism	whole organism
SRR6798207	SRR6798207	22922-DAF-16(MU86);GLP-1(E2141)	DAF-16(MU86);GLP-1(E2141)	LONGEVITY SUPPRESSED	YOUNG ADULT	whole organism	whole organism
SRR6798208	SRR6798208	22923-DAF-16(MG54);GLP-1(E2141)	DAF-16(MG54);GLP-1(E2141)	LONGEVITY SUPPRESSED	YOUNG ADULT	whole organism	whole organism
SRR6798209	SRR6798209	22928-GLP-1(E2141)	GLP-1(E2141)	LONG LIVED	YOUNG ADULT	whole organism	whole organism
SRR6798210	SRR6798210	22929--DAF-16(MU86);GLP-1(E2141)	DAF-16(MU86);GLP-1(E2141)	LONGEVITY SUPPRESSED	YOUNG ADULT	whole organism	whole organism
SRR6798211	SRR6798211	22930-DAF-16(MG54);GLP-1(E2141)	DAF-16(MG54);GLP-1(E2141)	LONGEVITY SUPPRESSED	YOUNG ADULT	whole organism	whole organism
SRR6798212	SRR6798212	22935-GLP-1(E2141)	GLP-1(E2141)	LONG LIVED	YOUNG ADULT	whole organism	whole organism
SRR6798213	SRR6798213	22936--DAF-16(MU86);GLP-1(E2141)	DAF-16(MU86);GLP-1(E2141)	LONGEVITY SUPPRESSED	YOUNG ADULT	whole organism	whole organism
SRR6798214	SRR6798214	22937-DAF-16(MG54);GLP-1(E2141)	DAF-16(MG54);GLP-1(E2141)	LONGEVITY SUPPRESSED	YOUNG ADULT	whole organism	whole organism
SRR6798215	SRR6798215	22942-GLP-1(E2141)	GLP-1(E2141)	LONG LIVED	YOUNG ADULT	whole organism	whole organism
SRR6798216	SRR6798216	22943--DAF-16(MU86);GLP-1(E2141)	DAF-16(MU86);GLP-1(E2141)	LONGEVITY SUPPRESSED	YOUNG ADULT	whole organism	whole organism
SRR6798217	SRR6798217	22944-DAF-16(MG54);GLP-1(E2141)	DAF-16(MG54);GLP-1(E2141)	LONGEVITY SUPPRESSED	YOUNG ADULT	whole organism	whole organism
SRR6798218	SRR6798218	22949-GLP-1(E2141)	GLP-1(E2141)	LONG LIVED	YOUNG ADULT	whole organism	whole organism
SRR6798219	SRR6798219	22950-DAF-16(MU86);GLP-1(E2141)	DAF-16(MU86);GLP-1(E2141)	LONGEVITY SUPPRESSED	YOUNG ADULT	whole organism	whole organism
SRR6798220	SRR6798220	22951-DAF-16(MG54);GLP-1(E2141)	DAF-16(MG54);GLP-1(E2141)	LONGEVITY SUPPRESSED	YOUNG ADULT	whole organism	whole organism
SRR6798221	SRR6798221	28339-WT	wild type	WT	YOUNG ADULT	whole organism	whole organism
SRR6798222	SRR6798222	28340-DAF-2(E1368)	DAF-2(E1368)	LONG LIVED	YOUNG ADULT	whole organism	whole organism
SRR6798223	SRR6798223	28341-DAF-16(MG54);DAF-2(E1368)	DAF-16(MG54);DAF-2(E1368)	LONGEVITY SUPPRESSED	YOUNG ADULT	whole organism	whole organism
SRR6798224	SRR6798224	28342-DAF-16(MU86);DAF-2(E1368)	DAF-16(MU86);DAF-2(E1368)	LONGEVITY SUPPRESSED	YOUNG ADULT	whole organism	whole organism
SRR6798225	SRR6798225	28343-DAF-2(E1370)	DAF-2(E1370)	LONG LIVED	YOUNG ADULT	whole organism	whole organism
SRR6798226	SRR6798226	28344-DAF-16(MG54);DAF-2(E1370)	DAF-16(MG54);DAF-2(E1370)	LONGEVITY SUPPRESSED	YOUNG ADULT	whole organism	whole organism
SRR6798227	SRR6798227	28345-DAF-16(MU86);DAF-2(E1370)	DAF-16(MU86);DAF-2(E1370)	LONGEVITY SUPPRESSED	YOUNG ADULT	whole organism	whole organism
SRR6798228	SRR6798228	28346-WT	wild type	WT	YOUNG ADULT	whole organism	whole organism
SRR6798229	SRR6798229	28347-DAF-2(E1368)	DAF-2(E1368)	LONG LIVED	YOUNG ADULT	whole organism	whole organism
SRR6798230	SRR6798230	28348-DAF-16(MG54);DAF-2(E1368)	DAF-16(MG54);DAF-2(E1368)	LONGEVITY SUPPRESSED	YOUNG ADULT	whole organism	whole organism
SRR6798231	SRR6798231	28349-DAF-16(MU86);DAF-2(E1368)	DAF-16(MU86);DAF-2(E1368)	LONGEVITY SUPPRESSED	YOUNG ADULT	whole organism	whole organism
SRR6798232	SRR6798232	28350-DAF-2(E1370)	DAF-2(E1370)	LONG LIVED	YOUNG ADULT	whole organism	whole organism
SRR6798233	SRR6798233	28351-DAF-16(MG54);DAF-2(E1370)	DAF-16(MG54);DAF-2(E1370)	LONGEVITY SUPPRESSED	YOUNG ADULT	whole organism	whole organism
SRR6798234	SRR6798234	28352-DAF-16(MU86);DAF-2(E1370)	DAF-16(MU86);DAF-2(E1370)	LONGEVITY SUPPRESSED	YOUNG ADULT	whole organism	whole organism
SRR6798235	SRR6798235	28353-WT	wild type	WT	YOUNG ADULT	whole organism	whole organism
SRR6798236	SRR6798236	28354-DAF-2(E1368)	DAF-2(E1368)	LONG LIVED	YOUNG ADULT	whole organism	whole organism
SRR6798237	SRR6798237	28355-DAF-16(MG54);DAF-2(E1368)	DAF-16(MG54);DAF-2(E1368)	LONGEVITY SUPPRESSED	YOUNG ADULT	whole organism	whole organism
SRR6798238	SRR6798238	28356-DAF-16(MU86);DAF-2(E1368)	DAF-16(MU86);DAF-2(E1368)	LONGEVITY SUPPRESSED	YOUNG ADULT	whole organism	whole organism
SRR6798239	SRR6798239	28357-DAF-2(E1370)	DAF-2(E1370)	LONG LIVED	YOUNG ADULT	whole organism	whole organism
SRR6798240	SRR6798240	28358-DAF-16(MG54);DAF-2(E1370)	DAF-16(MG54);DAF-2(E1370)	LONGEVITY SUPPRESSED	YOUNG ADULT	whole organism	whole organism
SRR6798241	SRR6798241	28359-DAF-16(MU86);DAF-2(E1370)	DAF-16(MU86);DAF-2(E1370)	LONGEVITY SUPPRESSED	YOUNG ADULT	whole organism	whole organism
SRR6798242	SRR6798242	28360-WT	wild type	WT	YOUNG ADULT	whole organism	whole organism
SRR6798243	SRR6798243	28361-DAF-2(E1368)	DAF-2(E1368)	LONG LIVED	YOUNG ADULT	whole organism	whole organism
SRR6798244	SRR6798244	28362-DAF-16(MG54);DAF-2(E1368)	DAF-16(MG54);DAF-2(E1368)	LONGEVITY SUPPRESSED	YOUNG ADULT	whole organism	whole organism
SRR6798246	SRR6798246	28364-DAF-2(E1370)	DAF-2(E1370)	LONG LIVED	YOUNG ADULT	whole organism	whole organism
SRR6798248	SRR6798248	28366-DAF-16(MU86);DAF-2(E1370)	DAF-16(MU86);DAF-2(E1370)	LONGEVITY SUPPRESSED	YOUNG ADULT	whole organism	whole organism
SRR6798249	SRR6798249	28367-WT	wild type	WT	YOUNG ADULT	whole organism	whole organism
SRR6798251	SRR6798251	28369-DAF-16(MG54);DAF-2(E1368)	DAF-16(MG54);DAF-2(E1368)	LONGEVITY SUPPRESSED	YOUNG ADULT	whole organism	whole organism
SRR6798252	SRR6798252	28370-DAF-16(MU86);DAF-2(E1368)	DAF-16(MU86);DAF-2(E1368)	LONGEVITY SUPPRESSED	YOUNG ADULT	whole organism	whole organism
SRR6798253	SRR6798253	28371-DAF-2(E1370)	DAF-2(E1370)	LONG LIVED	YOUNG ADULT	whole organism	whole organism
SRR6798254	SRR6798254	28372-DAF-16(MG54);DAF-2(E1370)	DAF-16(MG54);DAF-2(E1370)	LONGEVITY SUPPRESSED	YOUNG ADULT	whole organism	whole organism
SRR6798255	SRR6798255	28373-DAF-16(MU86);DAF-2(E1370)	DAF-16(MU86);DAF-2(E1370)	LONGEVITY SUPPRESSED	YOUNG ADULT	whole organism	whole organism
